"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"108",1,0,1,1,3,3,5,77,3,77,4,4,5,3,3,2,2,4,4,66,15
"109",2,0,2,2,7,7,6,77,5,77,5,4,6,1,5,1,3,2,5,66,24
"110",1,0,1,1,4,2,2,77,3,77,2,1,3,3,2,4,2,3,4,66,66
"111",2,0,2,2,7,7,6,77,5,77,2,3,4,4,4,2,2,1,6,3,66
"112",2,0,3,3,7,6,6,77,5,77,4,4,4,2,1,1,3,4,4,66,66
"113",2,0,2,2,6,6,6,77,4,77,1,5,4,5,5,1,1,1,7,66,3
"114",4,0,2,2,7,4,4,77,5,77,4,3,7,1,1,3,4,1,7,5,66
"115",1,0,2,2,7,7,7,77,5,77,5,5,7,5,1,1,3,4,4,66,66
"116",1,0,1,1,1,1,1,77,1,77,5,5,3,2,1,1,2,7,1,66,14
"117",2,1,2,2,7,6,7,77,5,77,5,5,6,2,4,3,3,1,7,66,23
"118",4,0,3,2,7,7,7,77,5,77,5,3,4,1,5,3,3,1,7,66,8
"119",4,0,1,1,3,2,2,77,2,77,5,4,2,3,2,2,2,7,1,24,66
"120",4,0,4,4,7,7,7,77,5,77,5,5,7,2,3,1,3,1,7,66,66
"121",1,0,1,1,2,2,6,77,1,77,4,4,6,3,4,2,2,5,4,66,21
"122",4,1,3,3,3,2,5,77,3,77,3,2,5,4,4,3,2,2,4,66,66
"123",3,0,2,3,3,3,5,77,3,77,5,4,3,1,2,1,1,6,2,66,21
"124",1,1,1,2,1,1,1,77,1,77,1,5,7,5,1,1,1,7,7,66,22
"125",2,0,2,2,7,5,7,77,5,77,5,5,3,3,1,1,3,1,7,66,23
"126",1,0,1,1,2,3,2,77,1,77,5,5,3,1,4,1,2,7,1,66,66
"127",2,0,2,2,7,7,7,77,5,77,5,4,3,3,5,1,2,7,7,15,66
"128",4,0,2,2,7,7,6,77,5,77,5,5,4,5,1,1,4,1,7,4,66
"129",1,0,4,1,3,1,5,77,4,77,3,3,1,1,4,1,3,3,3,66,66
"130",2,0,2,2,7,6,7,77,5,77,3,5,6,4,1,1,3,1,7,66,5
"131",1,0,1,1,2,1,1,77,1,77,1,4,1,2,2,2,4,7,1,66,66
"132",4,0,3,2,7,7,6,77,5,77,5,4,4,4,4,1,2,1,7,66,66
